event_date,firm,car,group,grp,direction,z
2021-04-14,DANSKE.CO,-0.009026576028319562,control_bank,control_bank,0.0,-2.034052437497537
2021-04-14,DNB.OL,0.001144883608165257,control_bank,control_bank,0.0,-0.9659534405231625
2021-04-14,LLOY.L,-0.0035581756740177602,control_bank,control_bank,0.0,
2021-04-14,NWG.L,-0.009821087407831131,control_bank,control_bank,0.0,
2021-04-14,UBSG.SW,0.011213686899415473,control_bank,control_bank,0.0,
2021-04-14,MA,0.006970603802670037,payments,payments,0.0,
2021-04-14,V,0.009683947019122351,payments,payments,0.0,
2021-04-14,AXP,0.012799209688509788,payments,payments,0.0,
2021-04-14,PYPL,-0.02094252152520642,payments,payments,0.0,
2021-04-14,GPN,0.004843422894288327,payments,payments,0.0,
2021-04-14,AAPL,-0.012380029512980829,device,gate,0.0,
2021-04-14,GOOGL,0.00015842316686204196,device,gate,0.0,
2021-04-14,AMZN,-0.01363462390959095,bigtech,gate,0.0,
2021-04-14,META,-0.015912636039110934,bigtech,gate,0.0,
2021-07-14,DBK.DE,-0.0029439685129287506,bank,bank,-1.0,-1.5981878524090556
2021-07-14,CBK.DE,-0.0051694429874917505,bank,bank,-1.0,-0.1969766074951668
2021-07-14,BNP.PA,-0.0014472635870611435,bank,bank,-1.0,-1.8277916820311226
2021-07-14,GLE.PA,-0.003342297678960616,bank,bank,-1.0,-1.8810103807023557
2021-07-14,ACA.PA,-0.00015682543802828918,bank,bank,-1.0,-0.430377884945561
2021-07-14,SAN.MC,-0.00013801816978277828,bank,bank,-1.0,-0.6865870300483472
2021-07-14,BBVA.MC,-0.0018444037971395667,bank,bank,-1.0,-0.5472047262920654
2021-07-14,CABK.MC,-0.010683089059735494,bank,bank,-1.0,0.6318798811046288
2021-07-14,SAB.MC,-0.003343226318861076,bank,bank,-1.0,0.2751144903870993
2021-07-14,BKT.MC,0.019805317659576396,bank,bank,-1.0,0.4179464676689923
2021-07-14,UNI.MC,-0.012697463093869423,bank,bank,-1.0,0.15978485614852456
2021-07-14,ISP.MI,0.0003310190512369705,bank,bank,-1.0,-0.3976038785149957
2021-07-14,UCG.MI,-0.00038786287423698933,bank,bank,-1.0,-0.6729346213298831
2021-07-14,BAMI.MI,-0.020633015414515038,bank,bank,-1.0,-0.5474307600897961
