LEI_Code,NSA,Period,Item,Label,ASSETS_FV,ASSETS_Stages,Exposure,Financial_instruments,Amount,Fin_end_year,n_quarters,footnote
2138005O9XJIJN4JPN90,GB,201912,2021209,Tax liabilities,0,0,0,0,441.6720495416,0,4,
2138005O9XJIJN4JPN90,GB,201912,2021211,Other liabilities,0,0,0,0,4994.2312829925,0,4,
2138005O9XJIJN4JPN90,GB,201912,2021212,Liabilities included in disposal groups classified as held for sale,0,0,0,0,0,0,4,
2138005O9XJIJN4JPN90,GB,201912,2021213,Haircuts for trading liabilities at fair value1,0,0,0,0,0,0,4,
2138005O9XJIJN4JPN90,GB,201912,2021214,TOTAL LIABILITIES,0,0,0,0,798060.223973872,0,4,
2138005O9XJIJN4JPN90,GB,201912,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,12,172636.050272778,0,4,
2138005O9XJIJN4JPN90,GB,201912,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,21,0,0,4,
2138005O9XJIJN4JPN90,GB,201912,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,22,24901.967312024,0,4,
2138005O9XJIJN4JPN90,GB,201912,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,101,30,16302.4396045134,0,4,
2138005O9XJIJN4JPN90,GB,201912,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,101,31,40.5524212506,0,4,
2138005O9XJIJN4JPN90,GB,201912,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,102,30,8151.5350325811,0,4,
2138005O9XJIJN4JPN90,GB,201912,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,102,31,5365.756972708,0,4,
2138005O9XJIJN4JPN90,GB,201912,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,201,30,32460.0073638105,0,4,
2138005O9XJIJN4JPN90,GB,201912,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,201,31,21485.4656020921,0,4,
2138005O9XJIJN4JPN90,GB,201912,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,202,30,89798.7624113305,0,4,
2138005O9XJIJN4JPN90,GB,201912,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,202,31,55889.7252478843,0,4,
2138005O9XJIJN4JPN90,GB,201912,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,301,30,139919.462365691,0,4,
2138005O9XJIJN4JPN90,GB,201912,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,301,31,127952.024006077,0,4,
2138005O9XJIJN4JPN90,GB,201912,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,401,30,231746.402551622,0,4,
2138005O9XJIJN4JPN90,GB,201912,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,401,31,217737.44562359,0,4,
2138005O9XJIJN4JPN90,GB,201912,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,40,66159.6356007875,0,4,
2138005O9XJIJN4JPN90,GB,201912,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,41,11729.0518249647,0,4,
2138005O9XJIJN4JPN90,GB,201912,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,50,7261.5125939116,0,4,
2138005O9XJIJN4JPN90,GB,201912,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,0,789337.775109074,0,4,
2138005O9XJIJN4JPN90,GB,201909,2020305,Interest expenses - (Of which deposits expenses),0,0,0,0,1175.5911468958,0,3,
2138005O9XJIJN4JPN90,GB,201909,2020310,Gains or (-) losses on derecognition of financial assets and liabilities not measured at fair value through profit or loss_ and of non financial assets_ net,0,0,0,0,49.5299543653,0,3,
2138005O9XJIJN4JPN90,GB,201909,2020311,Gains or (-) losses on financial assets and liabilities held for trading_ net,0,0,0,0,879.2354262134,0,3,
2138005O9XJIJN4JPN90,GB,201909,2020312,Gains or (-) losses on financial assets and liabilities designated at fair value through profit or loss_ net,0,0,0,0,64.8284071218,0,3,
2138005O9XJIJN4JPN90,GB,201912,2020305,Interest expenses - (Of which deposits expenses),0,0,0,0,1644.0406070522,0,4,
2138005O9XJIJN4JPN90,GB,201912,2020310,Gains or (-) losses on derecognition of financial assets and liabilities not measured at fair value through profit or loss_ and of non financial assets_ net,0,0,0,0,87.8344280207,0,4,
2138005O9XJIJN4JPN90,GB,201912,2020311,Gains or (-) losses on financial assets and liabilities held for trading_ net,0,0,0,0,1080.6269432417,0,4,
2138005O9XJIJN4JPN90,GB,201912,2020312,Gains or (-) losses on financial assets and liabilities designated at fair value through profit or loss_ net,0,0,0,0,84.4711292901,0,4,
